FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000335	1	4	7	2	8	3	6	9	4	6	4	6	10	8	4	5	5	5	5	5	5	5	4	5	5	5	5
OG0000336	2	4	6	7	6	4	7	4	3	9	5	7	12	2	4	5	5	5	5	5	5	5	4	6	4	6	6
OG0000337	3	8	10	2	4	2	3	1	1	6	8	5	24	1	3	4	4	4	4	4	4	6	6	4	2	5	6
OG0000338	4	7	4	9	8	2	4	17	3	4	4	3	5	4	4	4	4	4	4	4	5	5	5	8	6	4	4
OG0000340	8	9	3	9	7	5	5	5	3	5	5	5	4	5	4	5	5	5	5	6	6	6	8	7	5	5	5
OG0000341	3	7	2	9	11	3	3	8	2	6	5	3	5	11	4	4	4	4	4	4	4	4	4	9	4	4	5
OG0000343	1	3	12	2	7	3	2	9	8	3	3	5	2	17	4	4	4	4	4	4	4	4	3	4	7	4	3
OG0000344	3	8	6	7	9	5	10	4	1	3	5	5	8	3	4	5	5	5	6	6	6	6	6	7	4	5	5
OG0000345	3	6	6	7	7	5	7	8	2	5	7	5	2	7	4	4	5	5	6	6	6	6	6	7	5	5	5
OG0000347	5	6	5	9	10	5	7	7	3	4	4	7	0	5	4	4	5	5	5	5	5	5	5	8	5	5	4
OG0000349	4	9	5	9	4	4	5	7	4	6	8	5	6	1	4	5	5	5	5	5	5	5	5	6	5	5	6
OG0000350	8	10	2	9	8	5	5	4	3	5	5	5	4	4	4	4	5	5	5	6	6	6	8	8	4	5	5
OG0000352	0	0	0	9	14	6	1	1	40	3	2	0	0	1	2	2	2	3	3	3	3	0	0	9	6	2	2
OG0000356	1	8	8	8	8	3	10	4	2	3	4	6	1	10	4	4	4	4	6	6	6	6	6	8	4	4	4
OG0000357	4	11	6	10	9	4	7	6	0	3	3	5	4	4	4	4	4	4	5	5	6	6	6	9	4	4	3
OG0000358	2	6	5	5	8	4	6	5	6	5	5	7	10	2	4	5	5	5	5	5	5	5	5	5	5	5	5
OG0000360	3	7	14	5	3	4	3	11	2	5	6	5	6	2	4	5	5	5	5	5	5	6	6	5	5	5	5
OG0000361	5	6	3	10	11	3	5	7	4	4	3	5	5	4	4	5	5	5	5	5	5	5	5	9	5	5	4
OG0000362	12	10	3	11	7	3	4	2	0	7	7	5	2	2	3	3	4	4	4	5	6	6	10	7	2	5	7
OG0000363	0	7	5	1	14	3	5	1	10	6	7	8	7	1	4	5	5	5	5	5	5	5	5	5	5	6	6
OG0000369	0	0	6	1	8	4	0	8	9	8	4	10	13	3	4	5	5	5	4	4	4	4	0	4	7	6	6
OG0000378	0	8	4	0	1	3	10	2	7	10	8	9	6	5	4	5	5	5	5	4	4	4	4	1	5	7	8
OG0000379	7	8	5	7	9	4	4	3	3	4	4	4	5	6	4	4	4	4	4	5	6	6	7	7	3	4	4
OG0000380	3	7	3	11	9	4	4	6	2	5	6	4	6	3	4	4	4	4	4	4	4	4	4	9	4	4	5
OG0000381	4	8	6	1	7	5	5	5	4	6	5	5	7	5	4	5	5	5	5	5	5	5	5	5	5	5	5
OG0000382	6	10	7	1	8	5	5	4	5	5	5	4	4	4	4	4	5	5	5	5	5	7	7	5	5	5	5
OG0000383	5	10	4	1	7	6	4	5	6	6	6	6	4	3	4	4	5	5	5	5	5	5	6	5	5	6	6
OG0000384	1	6	1	1	8	3	5	2	2	9	16	5	12	2	3	3	3	3	3	3	3	3	3	3	2	5	10
OG0000385	3	8	7	5	7	4	4	10	4	4	5	4	4	4	4	4	4	4	4	4	5	6	6	5	5	4	4
OG0000386	0	3	9	1	11	1	25	0	4	8	5	4	0	2	2	2	3	3	4	4	4	4	3	4	3	4	5
OG0000392	6	7	8	6	6	3	7	4	3	5	8	7	0	2	3	3	5	5	5	5	6	7	7	6	4	6	6
OG0000396	0	7	4	2	9	8	5	4	6	6	4	9	5	2	4	5	5	5	5	5	5	5	5	5	5	5	5
OG0000397	4	4	5	7	6	3	3	4	4	8	4	3	3	13	4	4	4	4	4	4	4	4	4	6	4	4	5
OG0000398	3	4	6	11	15	3	5	3	2	4	2	2	8	3	3	3	3	3	4	5	5	5	4	11	3	3	3
